keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASE临床疗效	85.0	0.03964796077648514	2.8065	2011	2016	2017	2	5.5	1	5
@PHRASE功能锻炼	10.0	1.8419662568980107E-4	3.9146	2011	2011	2012	2	-0.5	1	0
@PHRASE颈椎功能	23.0	0.004693216549692866	5.7202	2017	2019	2021	3	1.5	1	2
@PHRASE按摩疗法	11.0	0.0010251223027234785	3.4522	2011	2011	2013	3	0.5	1	0
@PHRASE牵引疗法	9.0	0.0037085985959176703	3.9602	2011	2011	2013	3	0.5	1	0
@PHRASE葛根汤	13.0	0.0025594240407000486	3.3785	2017	2017	2021	5	0.5	1	0
@PHRASE血流动力学	32.0	0.028176025946031035	4.0678	2015	2019	2021	3	3.5	1	4
@PHRASE康复理疗	15.0	8.880862976874267E-4	3.2267	2017	2017	2021	5	0.5	1	0
@PHRASE生活质量	17.0	0.005798310503103715	6.5307	2018	2018	2019	2	0.5	1	0
@PHRASE椎动脉	6.0	0.0	2.6377	2011	2011	2013	3	0.5	1	0
@PHRASE综合治疗	8.0	0.00292625609075451	2.7193	2012	2015	2016	2	2.5	1	3
@PHRASE临床效果	49.0	0.017542311228596237	3.8593	2012	2016	2019	4	5.5	1	4
@PHRASEmeta分析	10.0	0.0036939708373745733	3.2622	2013	2016	2018	3	4.5	1	3
@PHRASE综合疗法	19.0	0.005342827549916721	3.9551	2011	2011	2014	4	1.5	1	0
@PHRASE青少年	5.0	6.077028459878103E-4	2.6485	2011	2011	2012	2	0.5	1	0
@PHRASE推拿整复	6.0	0.002139734196489855	2.6258	2012	2012	2014	3	1.5	1	0
@PHRASE针灸疗法	42.0	0.008844219609028004	4.946	2011	2011	2012	2	1.5	1	0
@PHRASE推拿疗法	101.0	0.06055432669765938	3.6028	2011	2011	2012	2	2.5	1	0
@PHRASE牵引治疗	5.0	7.301807248596251E-4	2.6485	2011	2011	2012	2	-0.5	1	0
@PHRASE颈性眩晕	8.0	0.007871281298717043	2.7581	2013	2013	2014	2	0.5	1	0
@PHRASE治疗效果	21.0	0.0031609690702048042	3.9088	2012	2018	2021	4	6.5	1	6
@PHRASE康复治疗	15.0	2.4935476261569105E-4	4.1562	2016	2016	2019	4	1.5	1	0
@PHRASE牵引术	15.0	0.00944411267749719	3.9252	2011	2011	2014	4	0.5	1	0
@PHRASE中医针灸	46.0	0.006913983619118832	3.3503	2013	2018	2019	2	4.5	1	5
@PHRASE随机平行对照研究	14.0	0.004913130065832013	5.9253	2013	2013	2015	3	0.5	1	0
